,Id,Weekly_Sales
385,1_10_2013-06-28,0.0
386,1_10_2013-07-05,0.0
387,1_10_2013-07-12,0.0
388,1_10_2013-07-19,0.0
389,1_10_2013-07-26,0.0
390,1_11_2012-11-02,0.0
391,1_11_2012-11-09,0.0
392,1_11_2012-11-16,0.0
393,1_11_2012-11-23,0.0
394,1_11_2012-11-30,0.0
395,1_11_2012-12-07,0.0
396,1_11_2012-12-14,0.0
397,1_11_2012-12-21,0.0
398,1_11_2012-12-28,0.0
399,1_11_2013-01-04,0.0
400,1_11_2013-01-11,0.0
401,1_11_2013-01-18,0.0
402,1_11_2013-01-25,0.0
403,1_11_2013-02-01,0.0
404,1_11_2013-02-08,0.0
405,1_11_2013-02-15,0.0
406,1_11_2013-02-22,0.0
407,1_11_2013-03-01,0.0
408,1_11_2013-03-08,0.0
409,1_11_2013-03-15,0.0
410,1_11_2013-03-22,0.0
411,1_11_2013-03-29,0.0
412,1_11_2013-04-05,0.0
413,1_11_2013-04-12,0.0
414,1_11_2013-04-19,0.0
415,1_11_2013-04-26,0.0
416,1_11_2013-05-03,0.0
417,1_11_2013-05-10,0.0
418,1_11_2013-05-17,0.0
419,1_11_2013-05-24,0.0
420,1_11_2013-05-31,0.0
421,1_11_2013-06-07,0.0
422,1_11_2013-06-14,0.0
423,1_11_2013-06-21,0.0
424,1_11_2013-06-28,0.0
425,1_11_2013-07-05,0.0
426,1_11_2013-07-12,0.0
427,1_11_2013-07-19,0.0
428,1_11_2013-07-26,0.0
429,1_12_2012-11-02,0.0
430,1_12_2012-11-09,0.0
431,1_12_2012-11-16,0.0
432,1_12_2012-11-23,0.0
433,1_12_2012-11-30,0.0
434,1_12_2012-12-07,0.0
435,1_12_2012-12-14,0.0
436,1_12_2012-12-21,0.0
437,1_12_2012-12-28,0.0
438,1_12_2013-01-04,0.0
439,1_12_2013-01-11,0.0
440,1_12_2013-01-18,0.0
441,1_12_2013-01-25,0.0
442,1_12_2013-02-01,0.0
443,1_12_2013-02-08,0.0
444,1_12_2013-02-15,0.0
445,1_12_2013-02-22,0.0
446,1_12_2013-03-01,0.0
447,1_12_2013-03-08,0.0
448,1_12_2013-03-15,0.0
449,1_12_2013-03-22,0.0
450,1_12_2013-03-29,0.0
451,1_12_2013-04-05,0.0
452,1_12_2013-04-12,0.0
453,1_12_2013-04-19,0.0
454,1_12_2013-04-26,0.0
455,1_12_2013-05-03,0.0
456,1_12_2013-05-10,0.0
457,1_12_2013-05-17,0.0
458,1_12_2013-05-24,0.0
459,1_12_2013-05-31,0.0
460,1_12_2013-06-07,0.0
461,1_12_2013-06-14,0.0
462,1_12_2013-06-21,0.0
463,1_12_2013-06-28,0.0
464,1_12_2013-07-05,0.0
465,1_12_2013-07-12,0.0
466,1_12_2013-07-19,0.0
467,1_12_2013-07-26,0.0
468,1_13_2012-11-02,0.0
469,1_13_2012-11-09,0.0
470,1_13_2012-11-16,0.0
471,1_13_2012-11-23,0.0
472,1_13_2012-11-30,0.0
473,1_13_2012-12-07,0.0
474,1_13_2012-12-14,0.0
475,1_13_2012-12-21,0.0
476,1_13_2012-12-28,0.0
477,1_13_2013-01-04,0.0
478,1_13_2013-01-11,0.0
479,1_13_2013-01-18,0.0
480,1_13_2013-01-25,0.0
481,1_13_2013-02-01,0.0
482,1_13_2013-02-08,0.0
483,1_13_2013-02-15,0.0
484,1_13_2013-02-22,0.0
485,1_13_2013-03-01,0.0
486,1_13_2013-03-08,0.0
487,1_13_2013-03-15,0.0
488,1_13_2013-03-22,0.0
489,1_13_2013-03-29,0.0
490,1_13_2013-04-05,0.0
491,1_13_2013-04-12,0.0
492,1_13_2013-04-19,0.0
493,1_13_2013-04-26,0.0
494,1_13_2013-05-03,0.0
495,1_13_2013-05-10,0.0
496,1_13_2013-05-17,0.0
497,1_13_2013-05-24,0.0
498,1_13_2013-05-31,0.0
499,1_13_2013-06-07,0.0
500,1_13_2013-06-14,0.0
501,1_13_2013-06-21,0.0
502,1_13_2013-06-28,0.0
503,1_13_2013-07-05,0.0
504,1_13_2013-07-12,0.0
505,1_13_2013-07-19,0.0
506,1_13_2013-07-26,0.0
507,1_14_2012-11-02,0.0
508,1_14_2012-11-09,0.0
509,1_14_2012-11-16,0.0
510,1_14_2012-11-23,0.0
511,1_14_2012-11-30,0.0
512,1_14_2012-12-07,0.0
513,1_14_2012-12-14,0.0
514,1_14_2012-12-21,0.0
515,1_14_2012-12-28,0.0
516,1_14_2013-01-04,0.0
517,1_14_2013-01-11,0.0
518,1_14_2013-01-18,0.0
519,1_14_2013-01-25,0.0
520,1_14_2013-02-01,0.0
521,1_14_2013-02-08,0.0
522,1_14_2013-02-15,0.0
523,1_14_2013-02-22,0.0
524,1_14_2013-03-01,0.0
525,1_14_2013-03-08,0.0
526,1_14_2013-03-15,0.0
527,1_14_2013-03-22,0.0
528,1_14_2013-03-29,0.0
529,1_14_2013-04-05,0.0
530,1_14_2013-04-12,0.0
531,1_14_2013-04-19,0.0
532,1_14_2013-04-26,0.0
533,1_14_2013-05-03,0.0
534,1_14_2013-05-10,0.0
535,1_14_2013-05-17,0.0
536,1_14_2013-05-24,0.0
537,1_14_2013-05-31,0.0
538,1_14_2013-06-07,0.0
539,1_14_2013-06-14,0.0
540,1_14_2013-06-21,0.0
541,1_14_2013-06-28,0.0
542,1_14_2013-07-05,0.0
543,1_14_2013-07-12,0.0
544,1_14_2013-07-19,0.0
545,1_14_2013-07-26,0.0
546,1_16_2012-11-02,0.0
547,1_16_2012-11-09,0.0
548,1_16_2012-11-16,0.0
549,1_16_2012-11-23,0.0
550,1_16_2012-11-30,0.0
551,1_16_2012-12-07,0.0
552,1_16_2012-12-14,0.0
553,1_16_2012-12-21,0.0
554,1_16_2012-12-28,0.0
555,1_16_2013-01-04,0.0
556,1_16_2013-01-11,0.0
557,1_16_2013-01-18,0.0
558,1_16_2013-01-25,0.0
559,1_16_2013-02-01,0.0
560,1_16_2013-02-08,0.0
561,1_16_2013-02-15,0.0
562,1_16_2013-02-22,0.0
563,1_16_2013-03-01,0.0
564,1_16_2013-03-08,0.0
565,1_16_2013-03-15,0.0
566,1_16_2013-03-22,0.0
567,1_16_2013-03-29,0.0
568,1_16_2013-04-05,0.0
569,1_16_2013-04-12,0.0
570,1_16_2013-04-19,0.0
571,1_16_2013-04-26,0.0
572,1_16_2013-05-03,0.0
573,1_16_2013-05-10,0.0
574,1_16_2013-05-17,0.0
575,1_16_2013-05-24,0.0
576,1_16_2013-05-31,0.0
577,1_16_2013-06-07,0.0
578,1_16_2013-06-14,0.0
579,1_16_2013-06-21,0.0
580,1_16_2013-06-28,0.0
581,1_16_2013-07-05,0.0
582,1_16_2013-07-12,0.0
583,1_16_2013-07-19,0.0
584,1_16_2013-07-26,0.0
585,1_17_2012-11-02,0.0
586,1_17_2012-11-09,0.0
587,1_17_2012-11-16,0.0
588,1_17_2012-11-23,0.0
589,1_17_2012-11-30,0.0
590,1_17_2012-12-07,0.0
591,1_17_2012-12-14,0.0
592,1_17_2012-12-21,0.0
593,1_17_2012-12-28,0.0
594,1_17_2013-01-04,0.0
595,1_17_2013-01-11,0.0
596,1_17_2013-01-18,0.0
597,1_17_2013-01-25,0.0
598,1_17_2013-02-01,0.0
599,1_17_2013-02-08,0.0
600,1_17_2013-02-15,0.0
601,1_17_2013-02-22,0.0
602,1_17_2013-03-01,0.0
603,1_17_2013-03-08,0.0
604,1_17_2013-03-15,0.0
605,1_17_2013-03-22,0.0
606,1_17_2013-03-29,0.0
607,1_17_2013-04-05,0.0
608,1_17_2013-04-12,0.0
609,1_17_2013-04-19,0.0
610,1_17_2013-04-26,0.0
611,1_17_2013-05-03,0.0
612,1_17_2013-05-10,0.0
613,1_17_2013-05-17,0.0
614,1_17_2013-05-24,0.0
615,1_17_2013-05-31,0.0
616,1_17_2013-06-07,0.0
617,1_17_2013-06-14,0.0
618,1_17_2013-06-21,0.0
619,1_17_2013-06-28,0.0
620,1_17_2013-07-05,0.0
621,1_17_2013-07-12,0.0
622,1_17_2013-07-19,0.0
623,1_17_2013-07-26,0.0
624,1_18_2012-11-02,0.0
625,1_18_2012-11-09,0.0
626,1_18_2012-11-16,0.0
627,1_18_2012-11-23,0.0
628,1_18_2012-11-30,0.0
629,1_18_2012-12-07,0.0
630,1_18_2012-12-14,0.0
631,1_18_2012-12-21,0.0
632,1_18_2012-12-28,0.0
633,1_18_2013-01-04,0.0
634,1_18_2013-01-11,0.0
635,1_18_2013-01-18,0.0
636,1_18_2013-01-25,0.0
637,1_18_2013-02-01,0.0
638,1_18_2013-02-08,0.0
639,1_18_2013-02-15,0.0
640,1_18_2013-02-22,0.0
641,1_18_2013-03-01,0.0
642,1_18_2013-03-08,0.0
643,1_18_2013-03-15,0.0
644,1_18_2013-03-22,0.0
645,1_18_2013-03-29,0.0
646,1_18_2013-04-05,0.0
647,1_18_2013-04-12,0.0
648,1_18_2013-04-19,0.0
649,1_18_2013-04-26,0.0
650,1_18_2013-05-03,0.0
651,1_18_2013-05-10,0.0
652,1_18_2013-05-17,0.0
653,1_18_2013-05-24,0.0
654,1_18_2013-06-07,0.0
655,1_18_2013-07-05,0.0
656,1_19_2012-11-02,0.0
657,1_19_2012-11-09,0.0
658,1_19_2012-11-16,0.0
659,1_19_2012-11-23,0.0
660,1_19_2012-11-30,0.0
661,1_19_2012-12-07,0.0
662,1_19_2012-12-14,0.0
663,1_19_2012-12-21,0.0
664,1_19_2012-12-28,0.0
665,1_19_2013-01-04,0.0
666,1_19_2013-01-11,0.0
667,1_19_2013-01-18,0.0
668,1_19_2013-01-25,0.0
669,1_19_2013-02-01,0.0
670,1_19_2013-02-08,0.0
671,1_19_2013-02-15,0.0
672,1_19_2013-02-22,0.0
673,1_19_2013-03-01,0.0
674,1_19_2013-03-08,0.0
675,1_19_2013-03-15,0.0
676,1_19_2013-03-22,0.0
677,1_19_2013-03-29,0.0
678,1_19_2013-04-05,0.0
679,1_19_2013-04-12,0.0
680,1_19_2013-04-19,0.0
681,1_19_2013-04-26,0.0
682,1_19_2013-05-03,0.0
683,1_19_2013-05-10,0.0
684,1_19_2013-05-17,0.0
685,1_19_2013-05-24,0.0
686,1_19_2013-05-31,0.0
687,1_19_2013-06-07,0.0
688,1_19_2013-06-14,0.0
689,1_19_2013-06-21,0.0
690,1_19_2013-06-28,0.0
691,1_19_2013-07-05,0.0
692,1_19_2013-07-12,0.0
693,1_19_2013-07-19,0.0
694,1_19_2013-07-26,0.0
695,1_20_2012-11-02,0.0
696,1_20_2012-11-09,0.0
697,1_20_2012-11-16,0.0
698,1_20_2012-11-23,0.0
699,1_20_2012-11-30,0.0
700,1_20_2012-12-07,0.0
701,1_20_2012-12-14,0.0
702,1_20_2012-12-21,0.0
703,1_20_2012-12-28,0.0
704,1_20_2013-01-04,0.0
705,1_20_2013-01-11,0.0
706,1_20_2013-01-18,0.0
707,1_20_2013-01-25,0.0
708,1_20_2013-02-01,0.0
709,1_20_2013-02-08,0.0
710,1_20_2013-02-15,0.0
711,1_20_2013-02-22,0.0
712,1_20_2013-03-01,0.0
713,1_20_2013-03-08,0.0
714,1_20_2013-03-15,0.0
715,1_20_2013-03-22,0.0
716,1_20_2013-03-29,0.0
717,1_20_2013-04-05,0.0
718,1_20_2013-04-12,0.0
719,1_20_2013-04-19,0.0
720,1_20_2013-04-26,0.0
721,1_20_2013-05-03,0.0
722,1_20_2013-05-10,0.0
723,1_20_2013-05-17,0.0
724,1_20_2013-05-24,0.0
725,1_20_2013-05-31,0.0
726,1_20_2013-06-07,0.0
727,1_20_2013-06-14,0.0
728,1_20_2013-06-21,0.0
729,1_20_2013-06-28,0.0
730,1_20_2013-07-05,0.0
731,1_20_2013-07-12,0.0
732,1_20_2013-07-19,0.0
733,1_20_2013-07-26,0.0
734,1_21_2012-11-02,0.0
735,1_21_2012-11-09,0.0
736,1_21_2012-11-16,0.0
737,1_21_2012-11-23,0.0
738,1_21_2012-11-30,0.0
739,1_21_2012-12-07,0.0
740,1_21_2012-12-14,0.0
741,1_21_2012-12-21,0.0
742,1_21_2012-12-28,0.0
743,1_21_2013-01-04,0.0
744,1_21_2013-01-11,0.0
745,1_21_2013-01-18,0.0
746,1_21_2013-01-25,0.0
747,1_21_2013-02-01,0.0
748,1_21_2013-02-08,0.0
749,1_21_2013-02-15,0.0
750,1_21_2013-02-22,0.0
751,1_21_2013-03-01,0.0
752,1_21_2013-03-08,0.0
753,1_21_2013-03-15,0.0
754,1_21_2013-03-22,0.0
755,1_21_2013-03-29,0.0
756,1_21_2013-04-05,0.0
757,1_21_2013-04-12,0.0
758,1_21_2013-04-19,0.0
759,1_21_2013-04-26,0.0
760,1_21_2013-05-03,0.0
761,1_21_2013-05-10,0.0
762,1_21_2013-05-17,0.0
763,1_21_2013-05-24,0.0
764,1_21_2013-05-31,0.0
765,1_21_2013-06-07,0.0
766,1_21_2013-06-14,0.0
767,1_21_2013-06-21,0.0
768,1_21_2013-06-28,0.0
769,1_21_2013-07-05,0.0
770,1_21_2013-07-12,0.0
771,1_21_2013-07-19,0.0
772,1_21_2013-07-26,0.0
773,1_22_2012-11-02,0.0
774,1_22_2012-11-09,0.0
775,1_22_2012-11-16,0.0
776,1_22_2012-11-23,0.0
777,1_22_2012-11-30,0.0
778,1_22_2012-12-07,0.0
779,1_22_2012-12-14,0.0
780,1_22_2012-12-21,0.0
781,1_22_2012-12-28,0.0
782,1_22_2013-01-04,0.0
783,1_22_2013-01-11,0.0
784,1_22_2013-01-18,0.0
785,1_22_2013-01-25,0.0
786,1_22_2013-02-01,0.0
787,1_22_2013-02-08,0.0
788,1_22_2013-02-15,0.0
789,1_22_2013-02-22,0.0
790,1_22_2013-03-01,0.0
791,1_22_2013-03-08,0.0
792,1_22_2013-03-15,0.0
793,1_22_2013-03-22,0.0
794,1_22_2013-03-29,0.0
795,1_22_2013-04-05,0.0
796,1_22_2013-04-12,0.0
797,1_22_2013-04-19,0.0
798,1_22_2013-04-26,0.0
799,1_22_2013-05-03,0.0
800,1_22_2013-05-10,0.0
